"Station Name","BROME"
"Province","QUEBEC"
"Latitude","45.18"
"Longitude","-72.57"
"Elevation","205.70"
"Climate Identifier","7020840"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-15.5","","-22.0","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-02","2014","01","02","","","M","-27.0","","","M","","M","","M","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-03","2014","01","03","","-21.0","","-27.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-04","2014","01","04","","-6.0","","-31.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-05","2014","01","05","","","M","-8.0","","","M","","M","","M","0.0","C","0.0","E","0.0","C","10","","","","",""
"2014-01-06","2014","01","06","","7.0","","","M","","M","","M","","M","0.0","T","2.0","","2.0","","","M","","","",""
"2014-01-07","2014","01","07","","-13.5","","-16.5","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2014-01-08","2014","01","08","","-10.5","","-16.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2014-01-09","2014","01","09","","-8.0","","-17.5","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2014-01-10","2014","01","10","","2.0","","-21.5","","-9.8","","27.8","","0.0","","2.8","","0.0","","2.8","","8","","","","",""
"2014-01-11","2014","01","11","","11.5","","-4.0","","3.8","","14.2","","0.0","","6.4","","0.0","","6.4","","8","","","","",""
"2014-01-12","2014","01","12","","1.5","","0.5","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"2014-01-13","2014","01","13","","","M","-4.0","","","M","","M","","M","2.8","","0.0","","2.8","","5","","","","",""
"2014-01-14","2014","01","14","","4.0","","1.0","","2.5","","15.5","","0.0","","4.2","","0.0","","4.2","","4","","","","",""
"2014-01-15","2014","01","15","","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","3.0","","3.0","","4","","","","",""
"2014-01-16","2014","01","16","","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","3.0","","3.0","","6","","","","",""
"2014-01-17","2014","01","17","","","M","-8.0","","","M","","M","","M","0.0","","0.0","E","0.0","E","6","","","","",""
"2014-01-18","2014","01","18","","4.0","","-11.0","","-3.5","","21.5","","0.0","","0.0","","3.0","","3.0","","6","","","","",""
"2014-01-19","2014","01","19","","-3.5","","-10.0","","-6.8","","24.8","","0.0","","0.0","","6.0","","6.0","","8","","","","",""
"2014-01-20","2014","01","20","","-11.0","","-17.5","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","12","","","","",""
"2014-01-21","2014","01","21","","-18.5","","-28.5","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-22","2014","01","22","","-19.5","","-35.0","","-27.3","","45.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-23","2014","01","23","","-15.5","","-30.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2014-01-24","2014","01","24","","-11.0","","-29.0","","-20.0","","38.0","","0.0","","0.0","","2.0","","2.0","","10","","","","",""
"2014-01-25","2014","01","25","","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","11.0","","11.0","","12","","","","",""
"2014-01-26","2014","01","26","","-6.0","","-23.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"2014-01-27","2014","01","27","","-1.5","","-19.5","","-10.5","","28.5","","0.0","","0.0","","4.0","","4.0","","22","","","","",""
"2014-01-28","2014","01","28","","","M","-19.0","","","M","","M","","M","0.0","","0.0","","0.0","","20","","","","",""
"2014-01-29","2014","01","29","","-10.0","","-19.0","E","-14.5","E","32.5","E","0.0","E","0.0","","0.0","","0.0","","18","","","","",""
"2014-01-30","2014","01","30","","-2.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"2014-01-31","2014","01","31","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","2.0","","2.0","","16","","","","",""
"2014-02-01","2014","02","01","","","M","-11.0","","","M","","M","","M","0.0","T","","M","","M","14","","","","",""
"2014-02-02","2014","02","02","","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"2014-02-03","2014","02","03","","-3.5","","-12.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"2014-02-04","2014","02","04","","-5.5","","","M","","M","","M","","M","0.0","","1.0","","1.0","","14","","","","",""
