"Station Name","AMQUI"
"Province","QUEBEC"
"Latitude","48.47"
"Longitude","-67.43"
"Elevation","166.00"
"Climate Identifier","7050145"
"WMO Identifier","71386"
"TC Identifier","WZS"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-01-01 00:00","2015","01","01","00:00"," ","-19.8","","-22.5","","79","","16","","10","","","","99.07","","","","-27","","NA"
"2015-01-01 01:00","2015","01","01","01:00"," ","-19.2","","-22.1","","78","","17","","10","","","","98.99","","","","-26","","NA"
"2015-01-01 02:00","2015","01","01","02:00"," ","-19.0","","-21.9","","78","","17","","10","","","","98.94","","","","-26","","NA"
"2015-01-01 03:00","2015","01","01","03:00"," ","-19.0","","-21.9","","78","","17","","10","","","","98.82","","","","-26","","NA"
"2015-01-01 04:00","2015","01","01","04:00"," ","-18.2","","-20.9","","79","","17","","7","","","","98.76","","","","-24","","NA"
"2015-01-01 05:00","2015","01","01","05:00"," ","-17.2","","-19.5","","83","","17","","8","","","","98.69","","","","-23","","NA"
"2015-01-01 06:00","2015","01","01","06:00"," ","-17.0","","-19.2","","83","","17","","7","","","","98.66","","","","-22","","NA"
"2015-01-01 07:00","2015","01","01","07:00"," ","-16.0","","-17.8","","86","","18","","7","","","","98.64","","","","-21","","NA"
"2015-01-01 08:00","2015","01","01","08:00"," ","-14.6","","-16.6","","84","","16","","8","","","","98.65","","","","-20","","NA"
"2015-01-01 09:00","2015","01","01","09:00"," ","-13.7","","-16.3","","81","","16","","7","","","","98.65","","","","-18","","NA"
"2015-01-01 10:00","2015","01","01","10:00"," ","-11.6","","-15.4","","74","","16","","6","","","","98.57","","","","-15","","NA"
"2015-01-01 11:00","2015","01","01","11:00"," ","-9.3","","-14.2","","67","","18","","10","","","","98.41","","","","-14","","NA"
"2015-01-01 12:00","2015","01","01","12:00"," ","-7.8","","-14.0","","61","","19","","11","","","","98.32","","","","-13","","NA"
"2015-01-01 13:00","2015","01","01","13:00"," ","-6.9","","-13.9","","57","","19","","8","","","","98.29","","","","-11","","NA"
"2015-01-01 14:00","2015","01","01","14:00"," ","-7.6","","-13.0","","66","","18","","11","","","","98.24","","","","-13","","NA"
"2015-01-01 15:00","2015","01","01","15:00"," ","-7.6","","-12.2","","70","","17","","8","","","","98.26","","","","-12","","NA"
"2015-01-01 16:00","2015","01","01","16:00"," ","-8.0","","-12.0","","73","","16","","9","","","","98.28","","","","-13","","NA"
"2015-01-01 17:00","2015","01","01","17:00"," ","-8.3","","-10.7","","83","","16","","9","","","","98.27","","","","-13","","NA"
"2015-01-01 18:00","2015","01","01","18:00"," ","-8.1","","-10.6","","82","","17","","7","","","","98.25","","","","-12","","NA"
"2015-01-01 19:00","2015","01","01","19:00"," ","-8.3","","-10.0","","88","","17","","5","","","","98.25","","","","-11","","NA"
"2015-01-01 20:00","2015","01","01","20:00"," ","-8.3","","-9.4","","92","","17","","3","","","","98.24","","","","-10","","NA"
"2015-01-01 21:00","2015","01","01","21:00"," ","-8.0","","-9.2","","91","","18","","6","","","","98.24","","","","-11","","NA"
"2015-01-01 22:00","2015","01","01","22:00"," ","-7.5","","-9.7","","84","","28","","10","","","","98.30","","","","-12","","NA"
"2015-01-01 23:00","2015","01","01","23:00"," ","-8.5","","-10.1","","88","","33","","10","","","","98.36","","","","-13","","NA"
"2015-01-02 00:00","2015","01","02","00:00"," ","-9.8","","-11.6","","87","","35","","3","","","","98.41","","","","-12","","NA"
"2015-01-02 01:00","2015","01","02","01:00"," ","-11.7","","-12.8","","92","","20","","2","","","","98.40","","","","-13","","NA"
"2015-01-02 02:00","2015","01","02","02:00"," ","-11.6","","-12.6","","92","","0","","1","","","","98.41","","","","-12","","NA"
"2015-01-02 03:00","2015","01","02","03:00"," ","-10.9","","-11.9","","92","","35","","2","","","","98.40","","","","-12","","NA"
"2015-01-02 04:00","2015","01","02","04:00"," ","-10.9","","-12.0","","92","","2","","2","","","","98.37","","","","-12","","NA"
"2015-01-02 05:00","2015","01","02","05:00"," ","-10.9","","-12.2","","90","","1","","3","","","","98.36","","","","-13","","NA"
"2015-01-02 06:00","2015","01","02","06:00"," ","-11.3","","-12.5","","91","","","","0","","","","98.42","","","","","","NA"
"2015-01-02 07:00","2015","01","02","07:00"," ","-12.9","","-14.1","","91","","36","","3","","","","98.50","","","","-15","","NA"
"2015-01-02 08:00","2015","01","02","08:00"," ","-12.0","","-13.2","","91","","34","","3","","","","98.58","","","","-14","","NA"
"2015-01-02 09:00","2015","01","02","09:00"," ","-12.7","","-13.9","","91","","","","0","","","","98.61","","","","","","NA"
"2015-01-02 10:00","2015","01","02","10:00"," ","-11.6","","-13.5","","86","","17","","3","","","","98.68","","","","-13","","NA"
"2015-01-02 11:00","2015","01","02","11:00"," ","-10.5","","-12.5","","85","","15","","3","","","","98.70","","","","-12","","NA"
"2015-01-02 12:00","2015","01","02","12:00"," ","-9.6","","-12.0","","82","","0","","1","","","","98.68","","","","-10","","NA"
"2015-01-02 13:00","2015","01","02","13:00"," ","-9.7","","-11.7","","85","","32","","6","","","","98.72","","","","-13","","NA"
"2015-01-02 14:00","2015","01","02","14:00"," ","-11.1","","-15.4","","71","","31","","15","","","","98.92","","","","-18","","NA"
"2015-01-02 15:00","2015","01","02","15:00"," ","-13.2","","-17.6","","70","","28","","13","","","","99.10","","","","-20","","NA"
"2015-01-02 16:00","2015","01","02","16:00"," ","-14.2","","-17.5","","76","","27","","23","","","","99.25","","","","-24","","NA"
"2015-01-02 17:00","2015","01","02","17:00"," ","-14.7","","-17.3","","80","","31","","15","","","","99.44","","","","-23","","NA"
"2015-01-02 18:00","2015","01","02","18:00"," ","-15.6","","-18.8","","76","","30","","27","","","","99.58","","","","-26","","NA"
"2015-01-02 19:00","2015","01","02","19:00"," ","-16.3","","-19.3","","78","","30","","17","","","","99.72","","","","-25","","NA"
"2015-01-02 20:00","2015","01","02","20:00"," ","-17.4","","-21.3","","71","","32","","19","","","","99.89","","","","-27","","NA"
"2015-01-02 21:00","2015","01","02","21:00"," ","-17.8","","-20.5","","79","","32","","14","","","","100.00","","","","-26","","NA"
"2015-01-02 22:00","2015","01","02","22:00"," ","-18.3","","-21.2","","78","","31","","17","","","","100.10","","","","-28","","NA"
"2015-01-02 23:00","2015","01","02","23:00"," ","-19.1","","-22.4","","75","","32","","20","","","","100.22","","","","-29","","NA"
"2015-01-03 00:00","2015","01","03","00:00"," ","-19.4","","-23.2","","72","","31","","19","","","","100.34","","","","-29","","NA"
"2015-01-03 01:00","2015","01","03","01:00"," ","-19.6","","-22.6","","77","","32","","13","","","","100.49","","","","-28","","NA"
"2015-01-03 02:00","2015","01","03","02:00"," ","-20.2","","-23.9","","72","","30","","14","","","","100.62","","","","-29","","NA"
"2015-01-03 03:00","2015","01","03","03:00"," ","-20.4","","-24.2","","72","","31","","14","","","","100.73","","","","-29","","NA"
"2015-01-03 04:00","2015","01","03","04:00"," ","-20.1","","-24.2","","70","","31","","17","","","","100.86","","","","-30","","NA"
"2015-01-03 05:00","2015","01","03","05:00"," ","-20.3","","-24.1","","72","","31","","18","","","","100.90","","","","-30","","NA"
"2015-01-03 06:00","2015","01","03","06:00"," ","-20.3","","-22.8","","80","","32","","10","","","","100.99","","","","-28","","NA"
"2015-01-03 07:00","2015","01","03","07:00"," ","-21.7","","-25.3","","73","","31","","12","","","","101.10","","","","-30","","NA"
"2015-01-03 08:00","2015","01","03","08:00"," ","-21.7","","-26.0","","68","","29","","14","","","","101.28","","","","-31","","NA"
"2015-01-03 09:00","2015","01","03","09:00"," ","-21.4","","-26.1","","66","","29","","14","","","","101.43","","","","-30","","NA"
"2015-01-03 10:00","2015","01","03","10:00"," ","-20.5","","-25.3","","66","","30","","15","","","","101.48","","","","-30","","NA"
"2015-01-03 11:00","2015","01","03","11:00"," ","-19.4","","-24.7","","63","","33","","13","","","","101.50","","","","-28","","NA"
"2015-01-03 12:00","2015","01","03","12:00"," ","-18.7","","-23.9","","64","","31","","11","","","","101.48","","","","-26","","NA"
"2015-01-03 13:00","2015","01","03","13:00"," ","-17.4","","-23.0","","62","","35","","9","","","","101.52","","","","-24","","NA"
"2015-01-03 14:00","2015","01","03","14:00"," ","-16.4","","-22.3","","60","","1","","4","","","","101.56","","","","-19","","NA"
